text,normalized_text,lable_x,result
@benwerd And fire isn't? +1 to keeping the Hindenburg ,fir not   keep hindenburg,0,1
save the earth...don't use plastic bags ,sav ear  not us plast bag,0,1
gonna find that  dino crisis walkthrough. ,gon na find dino cris walkthrough ,0,1
Got done cryin with Joey. Shes like my sis! I am going to miss her like crazy! We are having one more overnighter at the hotel ,got cryin joey  lik sis  going miss lik crazy  ar hav mor overnight hotel,0,1
@charlii1 haha. He's he'll player/ladies man tho  xoxo,hah  wil playerladies man tho xoxo,1,0
Swim team monday. ,swim team monday ,1,0
@Simone yeh it came Crashing through and now its cold ,yeh cam crash cold,0,1
Sony and Nintendo today  Wheeee,sony nintendo today whe,0,1
@magshad Heard the football news... my condolences ,heard footbal new  condol,1,0
"Bed, school in the morning. Gym final tomorrow, jogging for 12 minutes ?! Sweet. Oh let's not forget the swimming and written part! ",bed  school morn  gym fin tomorrow  jog  minut   sweet  oh let u not forget swim writ part ,1,0
Going to sleep now i gotta get up early tomorrow to go workout  Hope i dont get to soar I have a party to go to tomorrow ,going sleep got ta get ear tomorrow go workout hop dont get soar hav party go tomorrow,0,1
@alejandralei thats what everyone is telling me. i dont care. ,everyon tel  dont car ,0,1
"I'm not use to the fact that I'm finally 16. OH MY GOSH, I'm 16! ",not us fact fin  oh gosh   ,0,1
"@triskasue If we get any rain, I'll send it to you Pattie.  We need it bad too! ",get rain  wil send patty  nee bad ,1,0
@applegirl there to greet you when you come home too or no?! ,ther greet com hom no  ,1,0
"colleen's house with katie, then basketball in walpole and driver's ed ",colleen  hous katy  basketbal walpol driv  ed,1,0
just got poptarts from Publix  My dad is jamming on my guitar in the other room...what a weird night.. :],got poptart publix dad jam guit oth room  weird night   ],0,1
bank holiday today...apparently ,bank holiday today  app,1,0
Watching Edward sissorhands! Cause there is NOTHING else on the tele box  x,watch edward sissorhand  caus ther noth els tel box x,1,0
misspelled those wrong ,misspel thos wrong,0,1
@the_grey_goose aint got no tv @ my sis place! n too tired 2 go out 2 watch it! but goooo lakers! ,aint got no tv sis plac  n tir  go  watch  goooo lak ,0,1
"hey , @LITTLEWINDMILL !! cute picture, i like the colors. =p~ are you back ? ",hey    cut pict  lik col  p ar back ,1,0
Just got my blink tix in the mail ,got blink tix mail,0,1
http://twitpic.com/6rf2m - I wanna go to the SEA  í´ì´ëâ¬, wan na go sea ,0,1
next week is the last week of school! yay! and then on the 8th im off to the bahamas! ya! paradise here i come... well in 9 days that is! ,next week last week school  yay  th im bahama  ya  parad com  wel  day ,0,1
"@SteffiF I agree, I am sitting on the sofa with a blanket! Def. cold ",agr  sit sof blanket  def  cold,0,1
"All matter is energy, all energy is information. Information is thought, thought is consciousness. Consciousness is All That Is ",al mat energy  al energy inform  inform thought  thought conscy  conscy al,0,1
@FitnessforGolf I understand now ,understand,0,1
once you go mac .. you never go back !  (via @PalStall),ont go mac  nev go back   via,0,1
@sweetney   so sorry to hear that.  i will be thinking of you.,sorry hear  wil think ,1,0
@daijamae Hiya Hun!! Been great ta as been off on leave all week - not looking forward to going back to work tomorrow  How's you?,hiy hun   gre ta leav al week  not look forward going back work tomorrow ,1,0
Ppl you must eat at Sumo Salad in the city! My bro jus bought the business and its sick! Oh they need staff 2 k! Get to it ey  love x,ppl must eat sumo salad city  bro jus bought busy sick  oh nee staff  k  get ey lov x,0,1
"hates being sick.  ... but loves stereos, they made my day brighter! &lt;3",hat sick   lov stereo  mad day bright  amp lt  ,1,0
"@PixiePolaroid Technically camera aren't allowed in the concerts  But still, i'd love to have some photos from the NKOTB cruise ",techn camer ar not allow concert stil  would lov hav som photo nkotb cru,1,0
"back from a sunny walk, weather is so nice,which is unusual, the murphys are pikin me up which shud be goaad. want to go out in the sunn ",back sunny walk  weath nic  unus  murph ar pikin shud goaad  want go sun,0,1
"@LaurieCromie I think I didn't even come for the Jack. Sawyer, though? ",think not ev com jack  sawy  though ,0,1
"@wolwol Duh duh, startrek only in jakarta for now  &gt;&gt; means, you must watch in Jakarta, and have a meet and greet with WFC members ;)",duh duh  startrek jakart amp gt  amp gt  mean  must watch jakart  hav meet greet wfc memb  ,1,0
OK not that I am loved  but this will be the last time for a while I can log in unless I get internet signal on my Phone! So tata! ,ok not lov thi wil last tim whil log unless get internet sign phon  tat ,0,1
somthing you dont care ,somth dont car,0,1
If I drop off - sorry - I'm so close to drooling &amp; snoring LOL - goodnight in advance - will try to make it to 9 tho ,drop  sorry  clos drool amp amp  snor lol  goodnight adv  wil try mak  tho,0,1
70 IQ should be solved in 30 minutes ... I'm sorry my dear brain .. I know it was hard .. but it was Ok also , iq solv  minut  sorry dear brain  know hard  ok also,0,1
"@CocaBeenSlinky  Aldo not a risk methinks, lot of luv 4 and from him at Prenton Pk still, he fell out with boss last time an she gone ",aldo not risk methink  lot luv  prenton pk stil  fel boss last tim gon,0,1
FINALLY watched the season finale of grey's anatomy! but man what will next season bring?? ,fin watch season fin grey  anatom  man wil next season bring  ,1,0
"I don't know how to make leis, so I need to go buy some ",not know mak lei  nee go buy som,0,1
I will love to death the lovely one that will give me the CD 'A Little Faster' on my birthday. ,wil lov dea lov wil giv cd  littl fast  birthday ,1,0
one week of summer left.  before i start summer school.  yay. ,week sum left  bef start sum school  yay ,1,0
I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work ,guess relax din movy tonight  wa look forward aft day work,1,0
What does a man have to do to get a freaking graduate position? ,doe man hav get freak gradu posit ,1,0
"i think its about time i got off my lazy ass and went for a shower, soo bye everybody ",think tim got lazy ass went show  soo bye everybody,0,1
" needed new earphones, got new earphones.",nee new earphon  got new earphon ,0,1
having momma and daughter quality time .. the others aren't home .. ,hav momm daught qual tim  oth ar not hom ,0,1
KUhawk5  Ooops.. I had a bug   But I fixed it..    Try that tiny URL again..,kuhawk ooops  bug fix  try tiny url ,1,0
"@AaL17 Aw, bummer! But at least you can re-watch it  My net disconnected 4 times  I got angry and swore ",aw  bum  least rewatch net disconnect  tim got angry swor,0,1
Back from Germany ,back germany,1,0
@little_eva sounds yummy! have some for me ,sound yummy  hav som,1,0
waiting 4 my coffee 2 brew what would i do w/o it? ,wait  coff  brew would wo ,0,1
@mcflyharry Harry Potter. ,harry pot ,1,0
@zephyr0811 hope ur migrane is better now ,hop ur migr bet,0,1
is awake ,awak,1,0
@BlairVander I'm not sure where to recycle. My housekeeper ssort it out for me. Or taht's what she says... who knows?! ,not sur wher recyc  housekeep ssort  taht  say  know  ,0,1
Got Twhirl  and its really convient,got twhirl real convy,0,1
@LloydDavis I was just looking at that!  Terrible...far too familiar ,look  terr  far famili,0,1
"@Yeti_Antics Yes, indeed. It really ruined my day, but it is now fixed. However, it's taking the entire night to get it decently cool. ",ye  indee  real ruin day  fix  howev  tak entir night get dec cool ,1,0
"Enjoying family movie night with the girls, minus daddy.    He is at a golf outing. Movie of choice: Barbie Fairytopia. (Sydnee's pick!)",enjoy famy movy night girl  min daddy  golf  movy cho  barby fairytop   sydn  pick  ,1,0
i could really use a cake day today.   #cakeday,could real us cak day today   cakeday,1,0
"homework  gonna go into town later, thatll be fun",homework gon na go town lat  thatl fun,1,0
"@HotMamaGowns Ha ha! I think u can pink in MI--my SIL is from MI, will receive the gown here &amp; they're likely going 2 move back 2 MI soon ",ha ha  think u pink mi  sil mi  wil receiv gown amp amp  ar lik going  mov back  mi soon,0,1
@scottmliddell mine was less than half than it usually is when in #Delhi ,min less half us  delh,0,1
@BabySnakes1987 it's their new summer hours  maybe it's only weekdays,new sum hour mayb weekday,1,0
On my way home. ,way hom ,0,1
"gonna watch some t.v before going to bed, need to wake up early tm thou ",gon na watch som tv bef going bed  nee wak ear tm thou,1,0
With the bestiie.....in the car on thw wayy 2 graduation with the rest of them fam.  ?,bestiy   car thw wayy  gradu rest fam  ,0,1
@turkfontaine I recognize your name from the blogs though you don't comment on mine! ,recogn yo nam blog though not com min ,1,0
