text,normalized_text,lable,result
Looong day of doing nothing! time for bed. Good night ,looong day of doing nothing time for bed good night ,0,1
I NEED SIMS THREE. ahh pete wentz birthday yday.  every sims addition for ten years of age. bless him (H) i love him. :'(,i need sims three ahh pete wentz birthday yday  every sims addition for ten years of age bless him h i love him ,0,1
@staycee_sea sorryyyyyyy   Someday!, sorryyyyyyy   someday,1,0
@ddlovato haha!! i was belive in him  until my friends speculate about it , haha i was belive in him  until my friends speculate about it ,1,0
aaaawwww    we still love u though! @officialTila,aaaawwww    we still love u though ,1,0
having momma and daughter quality time .. the others aren't home .. ,having momma and daughter quality time  the others are not home  ,0,1
"@JonathanRKnight that stuff is awesome, can't get it in Canada though  can u bring me some in TO?? Please", that stuff is awesome cannot get it in canada though  can u bring me some in to please,1,0
Went bowling.. High and then low..  whatthehell,went bowling high and then low  whatthehell,1,0
@keza34 who said what? , who said what ,0,1
Thanks everyone  scotties off to bed he's sooo tired,thanks everyone  scotties off to bed he is sooo tired,0,1
"@myLIFEspeaks oh, seems like Don is holding out for Dominican... ", oh seems like don is holding out for dominican ,0,1
@weblivz I would have written it's but I ran out of characters (punctuation is the first thing to go when that happens) , i would have written it is but i ran out of characters punctuation is the first thing to go when that happens ,0,1
@MetalMo i have many times , i have many times ,1,0
"@mitchelmusso you album is not out here yet bt i hear great things about it,cnt wait for it ", you album is not out here yet bt i hear great things about itcnt wait for it ,0,1
@valleseco happy days! ...except I'm off to Germany with year 8... on a coach  I must have been evil in a previous incarnation..., happy days except i am off to germany with year  on a coach  i must have been evil in a previous incarnation,1,0
oh! no! please matt save it! ,oh no please matt save it ,0,1
My meet up with tuti was great. We had movie and good food  I miss her alot I miss the days we chase 2pm together ,my meet up with tuti was great we had movie and good food  i miss her alot i miss the days we chase pm together ,1,0
now stalking her best friend (alyssa rose) on twitter ,now stalking her best friend alyssa rose on twitter ,0,1
http://twitpic.com/68yp7 - having a fun time with my birdie...may be one of the last ones ,  having a fun time with my birdiemay be one of the last ones ,1,0
@deon upload di indowebster dong banggggg , upload di indowebster dong banggggg ,0,1
yep  u sleepy? -carly,yep  u sleepy carly,1,0
@Whatleydude remember when you told me how I should upgrade the FW on my E71 to get rid of the blue photo tint? Now you get why I haven't , remember when you told me how i should upgrade the fw on my e to get rid of the blue photo tint now you get why i have not ,0,1
"@hellomollyyy Yes I did, I couldn't wait for it  I'll buy it when it comes out though.", yes i did i could not wait for it  i will buy it when it comes out though,1,0
@egsa I've seen neither of those. , i have seen neither of those ,0,1
At tam's wedding!! Gettin older and realizing &quot;my time e coming soon!!!&quot; ,at tams wedding gettin older and realizing quotmy time e coming soonquot ,1,0
@zslay1102  you're here in spirit, you are here in spirit,1,0
"@mjsbigblog Thanks! That performance made my day, especially in lieu of current Idols music! ", thanks that performance made my day especially in lieu of current idols music ,1,0
@jlknott Do you have pink eye?  I hear Ollie does too.  , do you have pink eye  i hear ollie does too  ,1,0
"@brazilian_angel so lucky, sun was out here, but warm enough to bathe in ", so lucky sun was out here but warm enough to bathe in ,1,0
"I changed my mind Sylar's not my favorite, Hiro is. ",i changed my mind sylars not my favorite hiro is ,0,1
sleeping taken by roly  http://sml.vg/xJeLhL,sleeping taken by roly  ,0,1
Watching Ace of Cakes: LOST edition omfgggg ,watching ace of cakes lost edition omfgggg ,0,1
@James_Waters Poor baby...I dont have to work till 2 , poor babyi dont have to work till  ,0,1
rainy rainy Bandung ,rainy rainy bandung ,0,1
@NormaBecerra the washer se chingo  ha  ha!! I'm busting my grandma lucia waaaaay back in the early 90's lol, the washer se chingo  ha  ha i am busting my grandma lucia waaaaay back in the early s lol,1,0
"@VivaVivien: If they're not showing, I'll just have to resort to their live ticker. At least it's better than hearing 2nd hand news. ",  if they are not showing i will just have to resort to their live ticker at least it is better than hearing nd hand news ,1,0
I'm glad I missed the majority of this game. (via @TheRopolitans) you and me both  I'm watching Casino Royale #shakennotstirred,i am glad i missed the majority of this game via you and me both  i am watching casino royale shakennotstirred,1,0
@milkshakex3 btw would you mind doing something to my pic  :$, btw would you mind doing something to my pic  ,1,0
usually does not feel bad for my actions... but Shane is the exception... sorry.. I'll be better when I lived here... ,usually does not feel bad for my actions but shane is the exception sorry i will be better when i lived here ,1,0
Another big infamous session god I love it ,another big infamous session god i love it ,0,1
Wind blows. Skirt goes. Now I know she rolls commando. What a Saturday. ,wind blows skirt goes now i know she rolls commando what a saturday ,0,1
Looking to be a five cup of coffee day ,looking to be a five cup of coffee day ,1,0
"@baomoi em ?ï¿½y nï¿½o ph?i chuyï¿½n gia, la lï¿½n thï¿½ d? ??ng lï¿½m khï¿½ thay ", em y no phi chuyn gia la ln th d ng lm kh thay ,0,1
@alixito are you sure @jcroft is not the nekkid guy from the building next to you? , are you sure is not the nekkid guy from the building next to you ,0,1
Going to bed I gotta get up early tomorrow... Goodnight ,going to bed i gotta get up early tomorrow goodnight ,0,1
Hyves stats change every week #growth  #mwc #mdc2 #mdc @yme - http://mobypicture.com/?807yys,hyves stats change every week growth  mwc mdc mdc  ,0,1
@TagAlongTess i will give it a try! i am a big wuss as well , i will give it a try i am a big wuss as well ,1,0
@anijade I would love brunch!! However we aren't in the same place , i would love brunch however we are not in the same place ,1,0
today is the last day ,today is the last day ,0,1
doing some stuff around the house- maybe packing some for Disney... probably not.. I'm such a procrastinator ,doing some stuff around the house maybe packing some for disney probably not i am such a procrastinator ,0,1
Just discovered I have an allergy to pine nuts ,just discovered i have an allergy to pine nuts ,1,0
"Who is going Reading on the 27th June? We Are The Ocean, Out of Sight, Deaf Havana, All Forgotten ",who is going reading on the th june we are the ocean out of sight deaf havana all forgotten ,0,1
